10k_tax,IUCN_tax,remove
Allenopithecus nigroviridis,Allenopithecus nigroviridis,
Allocebus trichotis,Allocebus trichotis,
Alouatta belzebul,Alouatta belzebul,
Alouatta caraya,Alouatta caraya,
Alouatta guariba,Alouatta guariba,
Alouatta palliata,Alouatta palliata,
Alouatta pigra,Alouatta pigra,
Alouatta sara,Alouatta sara,
Alouatta seniculus,Alouatta seniculus,
Aotus azarai,Aotus azarae,
Aotus azarai boliviensis,Aotus azarae boliviensis,
Aotus brumbacki,Aotus brumbacki,
Aotus infulatus,Aotus azarae infulatus,
Aotus lemurinus,Aotus lemurinus,
Aotus lemurinus griseimembra,Aotus griseimembra,
Aotus nancymaae,Aotus nancymaae,
Aotus nigriceps,Aotus nigriceps,
Aotus trivirgatus,Aotus trivirgatus,
Aotus vociferans,Aotus vociferans,
Archaeolemur majori,Archaeolemur majori,1
Arctocebus aureus,Arctocebus aureus,
Arctocebus calabarensis,Arctocebus calabarensis,
Ateles belzebuth,Ateles belzebuth,
Ateles fusciceps,Ateles fusciceps,
Ateles geoffroyi,Ateles geoffroyi,
Ateles paniscus,Ateles paniscus,
Avahi cleesei,Avahi cleesei,
Avahi laniger,Avahi laniger,
Avahi occidentalis,Avahi occidentalis,
Avahi unicolor,Avahi unicolor,
Brachyteles arachnoides,Brachyteles arachnoides,
Bunopithecus hoolock,Hoolock hoolock hoolock,
Cacajao calvus,Cacajao calvus,
Cacajao melanocephalus,Cacajao melanocephalus,
Callicebus donacophilus,Plecturocebus donacophilus,
Callicebus hoffmannsi,Plecturocebus hoffmannsi,
Callicebus moloch,Plecturocebus moloch,
Callicebus personatus,Callicebus personatus,
Callicebus torquatus,Cheracebus torquatus,
Callimico goeldii,Callimico goeldii,
Callithrix argentata,Mico argentatus,
Callithrix aurita,Callithrix aurita,
Callithrix emiliae,Mico emiliae,
Callithrix geoffroyi,Callithrix geoffroyi,
Callithrix humeralifera,Mico humeralifer,
Callithrix jacchus,Callithrix jacchus,
Callithrix kuhli,Callithrix kuhlii,
Callithrix mauesi,Mico mauesi,
Callithrix penicillata,Callithrix penicillata,
Callithrix pygmaea,Cebuella pygmaea,
Cebus albifrons,Cebus albifrons,
Cebus apella,Sapajus apella,
Cebus capucinus,Cebus capucinus,
Cebus olivaceus,Cebus olivaceus,
Cebus xanthosternos,Sapajus xanthosternos,
Cercocebus agilis,Cercocebus agilis,
Cercocebus galeritus,Cercocebus galeritus,
Cercocebus torquatus,Cercocebus torquatus,
Cercocebus torquatus atys,Cercocebus atys,
Cercopithecus albogularis,Cercopithecus mitis albogularis,
Cercopithecus ascanius,Cercopithecus ascanius,
Cercopithecus campbelli,Cercopithecus campbelli,
Cercopithecus campbelli lowei,Cercopithecus lowei,
Cercopithecus cephus,Cercopithecus cephus,
Cercopithecus cephus cephus,Cercopithecus cephus cephus,
Cercopithecus cephus ngottoensis,Cercopithecus cephus ngottoensis,
Cercopithecus diana,Cercopithecus diana,
Cercopithecus erythrogaster,Cercopithecus erythrogaster,
Cercopithecus erythrogaster erythrogaster,Cercopithecus erythrogaster erythrogaster,
Cercopithecus erythrotis,Cercopithecus erythrotis,
Cercopithecus hamlyni,Cercopithecus hamlyni,
Cercopithecus lhoesti,Allochrocebus lhoesti,
Cercopithecus mitis,Cercopithecus mitis,
Cercopithecus mona,Cercopithecus mona,
Cercopithecus neglectus,Cercopithecus neglectus,
Cercopithecus nictitans,Cercopithecus nictitans,
Cercopithecus petaurista,Cercopithecus petaurista,
Cercopithecus pogonias,Cercopithecus pogonias,
Cercopithecus preussi,Allochrocebus preussi,
Cercopithecus solatus,Allochrocebus solatus,
Cercopithecus wolfi,Cercopithecus wolfi,
Cheirogaleus crossleyi,Cheirogaleus crossleyi,
Cheirogaleus major,Cheirogaleus major,
Cheirogaleus medius,Cheirogaleus medius,
Chiropotes satanas,Chiropotes satanas,
Chlorocebus aethiops,Chlorocebus aethiops,
Chlorocebus pygerythrus,Chlorocebus pygerythrus,
Chlorocebus pygerythrus cynosurus,Chlorocebus cynosuros,
Chlorocebus sabaeus,Chlorocebus sabaeus,
Chlorocebus tantalus,Chlorocebus tantalus,
Colobus angolensis,Colobus angolensis,
Colobus angolensis palliatus,Colobus angolensis palliatus,
Colobus guereza,Colobus guereza,
Colobus polykomos,Colobus polykomos,
Colobus satanas,Colobus satanas,
Colobus vellerosus,Colobus vellerosus,
Daubentonia madagascariensis,Daubentonia madagascariensis,
Erythrocebus patas,Erythrocebus patas,
Eulemur coronatus,Eulemur coronatus,
Eulemur fulvus albifrons,Eulemur albifrons,
Eulemur fulvus albocollaris,Eulemur cinereiceps,
Eulemur fulvus collaris,Eulemur collaris,
Eulemur fulvus fulvus,Eulemur fulvus,
Eulemur fulvus mayottensis,Eulemur fulvus,1
Eulemur fulvus rufus,Eulemur rufus,
Eulemur fulvus sanfordi,Eulemur sanfordi,
Eulemur macaco flavifrons,Eulemur flavifrons,
Eulemur macaco macaco,Eulemur macaco,
Eulemur mongoz,Eulemur mongoz,
Eulemur rubriventer,Eulemur rubriventer,
Euoticus elegantulus,Euoticus elegantulus,
Galago alleni,Sciurocheirus alleni,
Galago gallarum,Galago gallarum,
Galago granti,Paragalago granti,
Galago matschiei,Galago matschiei,
Galago moholi,Galago moholi,
Galago senegalensis,Galago senegalensis,
Galagoides demidoff,Galagoides demidoff,
Galagoides zanzibaricus,Paragalago zanzibaricus udzungwensis,
Gorilla beringei,Gorilla beringei,
Gorilla gorilla gorilla,Gorilla gorilla gorilla,
Gorilla gorilla graueri,Gorilla beringei graueri,
Hapalemur aureus,Hapalemur aureus,
Hapalemur griseus,Hapalemur griseus,
Hapalemur griseus alaotrensis,Hapalemur alaotrensis,
Hapalemur griseus griseus,Hapalemur griseus griseus,
Hapalemur griseus meridionalis,Hapalemur meridionalis,
Hapalemur griseus occidentalis,Hapalemur occidentalis,
Hapalemur simus,Prolemur simus,
Homo sapiens,Homo sapiens,1
Homo sapiens neanderthalensis,Homo sapiens neanderthalensis,1
Hylobates agilis,Hylobates agilis,
Hylobates klossii,Hylobates klossii,
Hylobates lar,Hylobates lar,
Hylobates moloch,Hylobates moloch,
Hylobates muelleri,Hylobates muelleri,
Hylobates pileatus,Hylobates pileatus,
Indri indri,Indri indri,
Lagothrix lagotricha,Lagothrix lagothricha,
Lemur catta,Lemur catta,
Leontopithecus chrysomelas,Leontopithecus chrysomelas,
