scientific_name,TenK.tax,IUCN.family,IUCN.genus,IUCN.common.name,radiation,Estrada.Continent,Act.per,Terrestrial.binary,Terrestrial.ordinal,ground.use,ground.use.prop,reference,notes,WC1_area_mean,WC1_area_mean.sc,WC12_area_mean,WC12_area_mean.sc,AvBody.mass.comb,AvBody.mass.comb.sc,FBody.mass.comb,FBody.mass.comb.sc,Perc.fruit.comb,Perc.fruit.comb.sc,FH.Median,FH.Median.sc,NDVI.MED,NDVI.MED.sc,n.carn.y,n.carn.sc,n.carn.f,n.carn.sc.f,TC.median,TC.median.sc
Allenopithecus nigroviridis,Allenopithecus nigroviridis,CERCOPITHECIDAE,Allenopithecus,Allen's Swamp Monkey,Cercopithecoidea,Africa,Diurnal,TRUE,semiterrestrial,NA,NA,McGraw (1994) ,"McGraw (1994) states that this species was seen mostly on the ground, supporting previous findings that they are semi-terrestrial",25.11803856,0.394001541,1790.632886,-0.213900956,4702.5,-0.051949842,3965,-0.1689379,60.5,0.790726818,23,0.807888131,8139.75,0.47669584,10,0.124165673,10,-0.017382889,72,1.049085654
Allocebus trichotis,Allocebus trichotis,CHEIROGALEIDAE,Allocebus,Hairy-eared Dwarf Lemur,Lemuriformes,Madagascar,Nocturnal,FALSE,arboreal,0,0,NA,"ADW: Allocebus trichotis: INFORMATION (animaldiversity.org)  ""rarest of the extant lemurs, little is known about it's behavior"" Nocturnal. Exhibits torpor, which can occur in leaf litter at base of a tree. ",21.01999034,-0.85056868,2257.411506,0.427225319,85,-0.431661042,78.9,-0.563467148,7,-1.336778381,20,0.50383266,8610.897461,0.81732877,3,-0.915349343,3,-1.012948356,71,1.008307335
Allochrocebus lhoesti,Cercopithecus lhoesti,CERCOPITHECIDAE,Allochrocebus,L'Hoest's Monkey,Cercopithecoidea,Africa,Diurnal,FALSE,semiterrestrial,38,0.38,Kaplin and Moermond (2000) ,"Kaplin and Moermond (2000) report this species uses the ground 38% of the time. This would qualify as not terrestrial in the binary categorization, along with the 3 Allochrocebus spp. below, if >40% ground use is the definition",22.955727,-0.262688774,1700.143632,-0.338189079,4750,-0.048043771,4385,-0.126298162,27.9,-0.505659528,27,1.213295427,8353,0.630872565,14,0.718174254,15,0.693735301,78,1.293755566
Allochrocebus preussi,Cercopithecus preussi,CERCOPITHECIDAE,Allochrocebus,Preuss’s Monkey,Cercopithecoidea,Africa,Diurnal,FALSE,semiterrestrial,35,0.35,Gartland and Struhsaker (1972),Gartlan and Struhsaker (1972) or Gautier-Hion (1988) report this species uses the ground 35% of the time,21.56787717,-0.684176389,2551.65476,0.831372111,10000,0.383679845,5140,-0.049648157,51.9,0.448735328,20,0.50383266,NA,NA,NA,NA,NA,NA,22.5,-0.96944112
Allochrocebus preussi insularis,NA,CERCOPITHECIDAE,Allochrocebus,Bioko Preuss’s Monkey,Cercopithecoidea,Africa,Diurnal,FALSE,semiterrestrial,25.5,0.255,Gonzalez Kirchner (2004) ,spp. refers to island population. Kirchner (2004) estimates 25.5% of observations on ground. ,19.60489528,-1.280330625,2832.646175,1.217317335,NA,NA,NA,NA,NA,NA,25,1.010591779,2541.741089,-3.570585191,NA,NA,NA,NA,19,-1.112165235
Allochrocebus preussi preussi,NA,CERCOPITHECIDAE,Allochrocebus,Cameroon Preuss’s Monkey,Cercopithecoidea,Africa,Diurnal,TRUE,terrestrial,40,0.4,Gartland and Struhsaker (1972),spp. refers to mainland population,23.53085905,-0.088022156,2270.663344,0.445426885,NA,NA,NA,NA,NA,NA,15,-0.00292646,6884.333496,-0.430952484,NA,NA,NA,NA,26,-0.826717004
Allochrocebus solatus,Cercopithecus solatus,CERCOPITHECIDAE,Allochrocebus,Sun-tailed Monkey,Cercopithecoidea,Africa,Diurnal,FALSE,semiterrestrial,33.7,0.337,Motsch et al. 2015,estimates 33.7% terrestriality. Percent fruit data from semi-free ranging group study referenced here: https://neprimateconservancy.org/sun-tailed-monkey/,24.38597504,0.171675104,1795.726657,-0.206904598,5000,-0.027485504,5260,-0.037465375,19.5,-0.839697727,30,1.517350898,7979.472168,0.360817241,7,-0.321340762,7,-0.444053803,49,0.111184325
Alouatta arctoidea,NA,ATELIDAE,Alouatta,Ursine Howler Monkey,Platyrrhines,Neotropics,Diurnal,FALSE,arboreal,NA,NA,NA,"Weight data from IUCN, averaged for males and females, weight listed as same as A.seniculus.",26.29114673,0.750272481,1430.00112,-0.709233199,5490,0.0128087,NA,NA,NA,NA,2,-1.32050017,6884.5,-0.430832104,8,-0.172838617,NA,NA,23,-0.94905196
Alouatta belzebul,Alouatta belzebul,ATELIDAE,Alouatta,Red-handed Howler Monkey,Platyrrhines,Neotropics,Diurnal,FALSE,arboreal,0,0,Bobadilla and Ferrari (2000) ,"""Habitat use by Chiropotes satanas utahicki and Syntopic platarrhines in Eastern Amazonia""",25.65114374,0.55590467,1924.412036,-0.03015362,6400,0.087640794,5852.5,0.022687112,57.3,0.663474171,7,-0.813741051,8075.399902,0.430171632,9,-0.024336472,9,-0.159606527,37,-0.378155499
Alouatta caraya,Alouatta caraya,ATELIDAE,Alouatta,Black-and-gold Howler Monkey,Platyrrhines,Neotropics,Diurnal,FALSE,arboreal,0.4185714,0.004185714,NA,NA,23.62577104,-0.059197548,1426.593608,-0.71391346,7000,0.136980636,4915,-0.072490874,24.4,-0.644842111,2,-1.32050017,6768.25,-0.514879205,10,0.124165673,12,0.267064387,18,-1.152943554
